
PerIsn      16    2500       2      24    0.34949091    0.16950000  -11256
    1    0.998695312500E-01    0.175403486929E-02     0.05679
    2    0.131136791706E-01    0.536874447132E-03     0.00243
    3    0.188948438644E-01    0.518949873535E-03     0.02779
    4    0.898988122342E-03    0.549414258792E-04    -0.03695
    5    0.320000000000E-01    0.232737334063E-02     0.08031
    6    0.252000000000E-01    0.416813307529E-02    -0.09622
    7   -0.171480000000E+01    0.185303354890E-01     0.11457
    8    0.470472786458E+00    0.153922441959E-02     0.06764
    9    0.234349690501E+00    0.146962128907E-02     0.09568
   10    0.235614720408E+00    0.145686858936E-02     0.09706
   11    0.662916421257E-01    0.777599785321E-03     0.13087
   12    0.139266666667E+00    0.103866720934E-02     0.02315
   13    0.531550000000E+00    0.427059755447E-02    -0.02431
   14    0.362683333333E+00    0.673491885211E-02    -0.03869
   15    0.308429687500E+00    0.160827410662E-02     0.01549
   16    0.111261975098E+00    0.956712951771E-03    -0.00741
   17    0.114172184753E+00    0.942125499706E-03     0.00399
   18    0.196199155502E-01    0.246954375594E-03    -0.03590
   19   -0.253583333333E-01    0.238507609165E-02     0.01215
   20    0.158300000000E+00    0.249677685746E-02    -0.07593
   21   -0.388041666667E+00    0.654870684506E-02    -0.07196
   22    0.505450944010E+00    0.930317089800E-03     0.15999
   23    0.261070384852E+00    0.101237791622E-02     0.15863
   24    0.349786905162E+00    0.566091204717E-03     0.18974
   25    0.207708823171E+00    0.236331153555E-03     0.15040
   26   -0.147916666667E-01    0.148117039558E-02    -0.07729
   27    0.664341666667E+00    0.224483976167E-02    -0.15101
   28    0.601775000000E+00    0.312081015419E-02    -0.05538
   29    0.115975169271E+01    0.725914388927E-03     0.18298
   30    0.575105501302E+00    0.364917392512E-02    -0.00064
   31    0.103246639888E+02    0.587670577293E-01     0.21364
   32    0.613584673902E+01    0.299603927069E-01     0.04010
   33    0.160934083333E+02    0.473405444918E-01     0.09921
   34    0.210721666667E+02    0.494070863863E-01     0.05226
   35    0.142251900000E+03    0.289670157428E+00     0.08761
   36    0.113738500000E+03    0.291695586364E+00     0.08608
   37    0.760573988606E+00    0.767340686250E-02    -0.09422
   38    0.397129968449E+00    0.524620281301E-02    -0.15787
   39    0.944505803804E+00    0.533128165853E-03    -0.46841
   40    0.837425272522E+00    0.136087893258E-02    -0.46211
   41    0.854998952228E+00    0.175725765444E-02     0.01279
