
PerIsn      16    5000       2      24    0.34295318    0.16950000  -11236
    1    0.644929199219E-01    0.730874319203E-03     0.12568
    2    0.533060425520E-02    0.139861678752E-03     0.13403
    3    0.101127778053E-01    0.142803106924E-03     0.15311
    4    0.285289223592E-03    0.784258835709E-05     0.15448
    5    0.850000000000E-02    0.917516612762E-03    -0.06412
    6    0.180000000000E-02    0.618754509363E-03    -0.06955
    7   -0.193500000000E+01    0.583619949023E-02    -0.22978
    8    0.448086425781E+00    0.795650576285E-03     0.01788
    9    0.212597216288E+00    0.732706711594E-03     0.03412
   10    0.214105735842E+00    0.724372290103E-03     0.03678
   11    0.547552275722E-01    0.358005989495E-03     0.05137
   12    0.150441666667E+00    0.582349753866E-03     0.12640
   13    0.476133333333E+00    0.247125739154E-02     0.03857
   14    0.277458333333E+00    0.396104006990E-02     0.00391
   15    0.327791292318E+00    0.831262999530E-03     0.06245
   16    0.121801887194E+00    0.499769515166E-03     0.04894
   17    0.124671607272E+00    0.491641249889E-03     0.04734
   18    0.218611274314E-01    0.128816681194E-03     0.00738
   19   -0.284416666667E-01    0.160130376657E-02    -0.14802
   20    0.187137500000E+00    0.136970494054E-02    -0.03757
   21   -0.305900000000E+00    0.391017264496E-02     0.07403
   22    0.488780387370E+00    0.494319157552E-03     0.07044
   23    0.243434151141E+00    0.513936892003E-03     0.07284
   24    0.338777343114E+00    0.283964272584E-03    -0.02488
   25    0.202662347625E+00    0.155884096029E-03    -0.20058
   26   -0.169041666667E-01    0.104107142857E-02    -0.13841
   27    0.631475000000E+00    0.157672762751E-02     0.03531
   28    0.556591666667E+00    0.216664017514E-02    -0.03995
   29    0.114205004883E+01    0.404512141508E-03     0.02118
   30    0.570825162760E+00    0.156983433999E-02     0.02100
   31    0.942551631240E+01    0.278069143086E-01    -0.01480
   32    0.644064034293E+01    0.161248932864E-01    -0.04465
   33    0.168805875000E+02    0.260438806474E-01    -0.04403
   34    0.206188041667E+02    0.285887880113E-01    -0.05103
   35    0.138324987500E+03    0.144806951111E+00     0.05155
   36    0.117656812500E+03    0.141589091186E+00     0.05965
   37    0.780274903355E+00    0.507807142430E-02     0.12871
   38    0.358472267730E+00    0.209815630212E-02    -0.11465
   39    0.944421796648E+00    0.294488209803E-03    -0.07725
   40    0.837203462631E+00    0.718920696490E-03    -0.04087
   41    0.882146687497E+00    0.974797888207E-03     0.11621
   42    0.710988475252E+00    0.166981215135E-02     0.13534
   43    0.981399963636E+00    0.114283087058E-03     0.12628
   44    0.566311846046E+00    0.751046203569E-03     0.06363
   45   -0.300422410759E+04    0.723457890522E+01     0.01795

PerIsn      16    5000       2      24    0.34295318    0.17000000  -11236
    1    0.646029785156E-01    0.729601402923E-03    -0.02604
    2    0.538486181498E-02    0.141980403817E-03    -0.07924
    3    0.101409616709E-01    0.144486620672E-03    -0.09271
    4    0.288249553307E-03    0.826398762730E-05    -0.14940
    5    0.870000000000E-02    0.956289598353E-03     0.12310
    6    0.240000000000E-02    0.785584404850E-03    -0.06201
