
PerIsn      16    5000       2      24    0.35809134    0.16950000  -11116
    1    0.266896044922E+00    0.470403838395E-02     0.12190
    2    0.839705179334E-01    0.247359748797E-02     0.14145
    3    0.885522939920E-01    0.237402643469E-02     0.13764
    4    0.119941114647E-01    0.497895636175E-03     0.13815
    5    0.653000000000E-01    0.254914951804E-02     0.03536
    6    0.454400000000E+00    0.153600595237E-01     0.15307
    7   -0.191200000000E+00    0.410918731724E-01     0.11758
    8    0.575604557292E+00    0.315685769980E-02     0.08605
    9    0.345174184418E+00    0.346516010484E-02     0.09562
   10    0.345785724958E+00    0.344998956933E-02     0.09582
   11    0.135863545591E+00    0.235431330154E-02     0.10805
   12    0.759666666667E-01    0.210209249828E-02     0.03912
   13    0.777991666667E+00    0.720719477068E-02     0.03977
   14    0.716733333333E+00    0.100164961727E-01     0.03569
   15    0.204542431641E+00    0.323517668826E-02     0.08001
   16    0.585146994909E-01    0.156022869888E-02     0.05935
   17    0.615919198990E-01    0.155432890845E-02     0.06027
   18    0.848362576782E-02    0.319326805679E-03     0.03831
   19   -0.153083333333E-01    0.113781190436E-02     0.01038
   20    0.566083333333E-01    0.270158132705E-02     0.00055
   21   -0.732041666667E+00    0.965049300845E-02     0.03859
   22    0.587274658203E+00    0.258173020833E-02     0.10386
   23    0.354197750664E+00    0.303089133796E-02     0.10746
   24    0.407377644857E+00    0.193636995418E-02     0.11878
   25    0.230657441162E+00    0.845837729474E-03     0.13170
   26   -0.106583333333E-01    0.892229144225E-03    -0.11875
   27    0.824279166667E+00    0.498067484915E-02     0.04769
   28    0.798504166667E+00    0.594373982899E-02     0.03024
   29    0.122358180339E+01    0.187595693521E-02     0.10459
   30    0.609721305339E+00    0.424516181414E-02     0.04046
   31    0.154228681280E+02    0.167611580420E+00     0.09454
   32    0.441674755771E+01    0.531410688725E-01     0.06157
   33    0.129128750000E+02    0.902576142666E-01     0.07012
   34    0.239548458333E+02    0.945503107360E-01     0.06141
   35    0.162814837500E+03    0.638543857469E+00     0.09167
   36    0.931743625000E+02    0.639047198245E+00     0.09185
   37    0.848315582041E+00    0.644965538723E-02    -0.00990
   38    0.653779881430E+00    0.101014151393E-01     0.05661
   39    0.959864964797E+00    0.103043054108E-02    -0.02470
   40    0.880057759900E+00    0.267633550188E-02    -0.01582
   41    0.714993099264E+00    0.380055634109E-02     0.12115
   42    0.447163123488E+00    0.602587403568E-02     0.08347
   43    0.973725901763E+00    0.374516850757E-03    -0.01273
   44    0.719493568874E+00    0.432283002078E-02     0.10248
   45   -0.363491788488E+04    0.212732160320E+02     0.12033

PerIsn      16    5000       2      24    0.35809134    0.17000000  -11116
    1    0.255452001953E+00    0.557208313215E-02    -0.17935
    2    0.783415175796E-01    0.295927129571E-02    -0.16884
    3    0.832496788502E-01    0.283140782681E-02    -0.16549
    4    0.110038918188E-01    0.596828133700E-03    -0.13087
    5    0.628000000000E-01    0.267703765611E-02     0.08498
    6    0.421000000000E+00    0.188706661466E-01    -0.22072
    7   -0.315400000000E+00    0.529961184562E-01    -0.18853
    8    0.567298421224E+00    0.357056146141E-02    -0.11461
    9    0.336452876981E+00    0.394401997321E-02    -0.12148
   10    0.337110085233E+00    0.392769055808E-02    -0.12161
   11    0.130329274524E+00    0.270609538090E-02    -0.13185
   12    0.813083333333E-01    0.235506604938E-02    -0.07403
   13    0.758804166667E+00    0.794307894892E-02    -0.08346
   14    0.689729166667E+00    0.108768964027E-01    -0.08413
   15    0.214818766276E+00    0.365223268695E-02    -0.10584
   16    0.638316620509E-01    0.176068132830E-02    -0.09562
   17    0.668651714961E-01    0.175575903706E-02    -0.09715
   18    0.969497943589E-02    0.363926323809E-03    -0.08829
   19   -0.771666666667E-02    0.121677732234E-02     0.05661
   20    0.671666666667E-01    0.291452788443E-02    -0.10900
   21   -0.697445833333E+00    0.104906130599E-01    -0.09799
   22    0.581445296224E+00    0.292292487329E-02    -0.12645
   23    0.347412126986E+00    0.345058316133E-02    -0.13000
   24    0.403975256729E+00    0.221358521382E-02    -0.13802
   25    0.230487728640E+00    0.968317660878E-03    -0.14686
   26   -0.580833333333E-02    0.998202750026E-03     0.07622
   27    0.813758333333E+00    0.553683731568E-02    -0.08166
